Reconstruction Loss: 0.04355313628911972, KLD Loss: -27.785255432128906
Reconstruction Loss: 0.04377077519893646, KLD Loss: -27.391862869262695
Reconstruction Loss: 0.04338095709681511, KLD Loss: -26.793926239013672
Reconstruction Loss: 0.037152327597141266, KLD Loss: -28.73351287841797
Reconstruction Loss: 0.042028240859508514, KLD Loss: -25.49650001525879
Reconstruction Loss: 0.04183909296989441, KLD Loss: -22.501279830932617
Reconstruction Loss: 0.04414842277765274, KLD Loss: -23.341184616088867
Reconstruction Loss: 0.0472041517496109, KLD Loss: -22.926809310913086
Reconstruction Loss: 0.03884182497859001, KLD Loss: -24.74936866760254
Reconstruction Loss: 0.0454837903380394, KLD Loss: -27.821687698364258
Reconstruction Loss: 0.0440763495862484, KLD Loss: -25.45510482788086
Reconstruction Loss: 0.0413791760802269, KLD Loss: -24.629470825195312
Reconstruction Loss: 0.04065563902258873, KLD Loss: -21.22974395751953
Reconstruction Loss: 0.04348275065422058, KLD Loss: -20.895557403564453
Reconstruction Loss: 0.042618002742528915, KLD Loss: -29.204652786254883
Reconstruction Loss: 0.041655510663986206, KLD Loss: -26.749065399169922
Reconstruction Loss: 0.04305705428123474, KLD Loss: -26.17410659790039
Reconstruction Loss: 0.04052712023258209, KLD Loss: -23.376224517822266
Reconstruction Loss: 0.039233069866895676, KLD Loss: -27.145479202270508
Reconstruction Loss: 0.04239045828580856, KLD Loss: -24.958595275878906
Reconstruction Loss: 0.04158872365951538, KLD Loss: -21.18939781188965
Reconstruction Loss: 0.04385645315051079, KLD Loss: -23.27743911743164
Reconstruction Loss: 0.03768666833639145, KLD Loss: -27.533245086669922
Reconstruction Loss: 0.03637261316180229, KLD Loss: -25.358333587646484
Reconstruction Loss: 0.04009176790714264, KLD Loss: -27.351755142211914
Reconstruction Loss: 0.03877484053373337, KLD Loss: -23.3299617767334
Reconstruction Loss: 0.03875848278403282, KLD Loss: -22.184452056884766
Reconstruction Loss: 0.04186202213168144, KLD Loss: -23.692367553710938
Reconstruction Loss: 0.039510201662778854, KLD Loss: -23.18819808959961
Reconstruction Loss: 0.0413668118417263, KLD Loss: -22.156646728515625
Reconstruction Loss: 0.04259979724884033, KLD Loss: -26.274356842041016
Reconstruction Loss: 0.038505133241415024, KLD Loss: -26.966304779052734
Reconstruction Loss: 0.04177967831492424, KLD Loss: -25.70398712158203
Reconstruction Loss: 0.041776712983846664, KLD Loss: -23.233684539794922
Reconstruction Loss: 0.03918514400720596, KLD Loss: -29.277366638183594
Reconstruction Loss: 0.040937189012765884, KLD Loss: -34.195411682128906
Reconstruction Loss: 0.0428072027862072, KLD Loss: -29.554296493530273
Reconstruction Loss: 0.045645128935575485, KLD Loss: -30.51565170288086
Reconstruction Loss: 0.042337141931056976, KLD Loss: -25.320770263671875
Reconstruction Loss: 0.03740421310067177, KLD Loss: -26.264108657836914
Reconstruction Loss: 0.040550898760557175, KLD Loss: -29.621572494506836
Reconstruction Loss: 0.03786325082182884, KLD Loss: -23.47035026550293
Reconstruction Loss: 0.03834507614374161, KLD Loss: -27.35245132446289
Reconstruction Loss: 0.042738527059555054, KLD Loss: -28.192752838134766
Reconstruction Loss: 0.033856019377708435, KLD Loss: -32.77988815307617
Reconstruction Loss: 0.0374986007809639, KLD Loss: -33.787532806396484
Reconstruction Loss: 0.03832468390464783, KLD Loss: -26.81818962097168
Reconstruction Loss: 0.037758998572826385, KLD Loss: -24.85325813293457
Reconstruction Loss: 0.03761439025402069, KLD Loss: -22.64229965209961
Reconstruction Loss: 0.03935791924595833, KLD Loss: -26.507843017578125
Reconstruction Loss: 0.03926445543766022, KLD Loss: -27.044189453125
Reconstruction Loss: 0.03919154405593872, KLD Loss: -28.33612060546875
Reconstruction Loss: 0.039593469351530075, KLD Loss: -25.575504302978516
Reconstruction Loss: 0.03888114541769028, KLD Loss: -25.913789749145508
Reconstruction Loss: 0.03906986862421036, KLD Loss: -26.343124389648438
Reconstruction Loss: 0.03713485226035118, KLD Loss: -26.434600830078125
Reconstruction Loss: 0.040314771234989166, KLD Loss: -29.318973541259766
Reconstruction Loss: 0.03232727199792862, KLD Loss: -25.558198928833008
Reconstruction Loss: 0.03558142110705376, KLD Loss: -30.626873016357422
Reconstruction Loss: 0.03632214292883873, KLD Loss: -22.179643630981445
Reconstruction Loss: 0.04080348461866379, KLD Loss: -27.564531326293945
Reconstruction Loss: 0.0408954992890358, KLD Loss: -19.49451446533203
Reconstruction Loss: 0.03531789034605026, KLD Loss: -27.36786460876465
Reconstruction Loss: 0.03682642802596092, KLD Loss: -30.251068115234375
Reconstruction Loss: 0.03291744366288185, KLD Loss: -26.984149932861328
Reconstruction Loss: 0.032854385673999786, KLD Loss: -29.094430923461914
Reconstruction Loss: 0.036675527691841125, KLD Loss: -31.15850067138672
Reconstruction Loss: 0.034684985876083374, KLD Loss: -24.455913543701172
Reconstruction Loss: 0.03797563165426254, KLD Loss: -21.644922256469727
Reconstruction Loss: 0.03589818626642227, KLD Loss: -26.513513565063477
Reconstruction Loss: 0.031154271215200424, KLD Loss: -28.11063575744629
Reconstruction Loss: 0.03109917603433132, KLD Loss: -26.674142837524414
Reconstruction Loss: 0.034979358315467834, KLD Loss: -26.666919708251953
Reconstruction Loss: 0.03474418818950653, KLD Loss: -23.55377197265625
Reconstruction Loss: 0.03448362275958061, KLD Loss: -23.08185577392578
Reconstruction Loss: 0.032867543399333954, KLD Loss: -24.393016815185547
Reconstruction Loss: 0.0334906280040741, KLD Loss: -25.336742401123047
Reconstruction Loss: 0.03694182261824608, KLD Loss: -28.35574722290039
Reconstruction Loss: 0.03639642894268036, KLD Loss: -23.705829620361328
Reconstruction Loss: 0.033922988921403885, KLD Loss: -24.463088989257812
Reconstruction Loss: 0.03243640810251236, KLD Loss: -24.22488784790039
Reconstruction Loss: 0.03705909103155136, KLD Loss: -27.617992401123047
Reconstruction Loss: 0.03442373499274254, KLD Loss: -23.809978485107422
Reconstruction Loss: 0.037953175604343414, KLD Loss: -25.02273178100586
Reconstruction Loss: 0.03127643093466759, KLD Loss: -25.906267166137695
Reconstruction Loss: 0.030209703370928764, KLD Loss: -25.66582679748535
Reconstruction Loss: 0.03351444751024246, KLD Loss: -23.140892028808594
Reconstruction Loss: 0.031011279672384262, KLD Loss: -24.09648323059082
Reconstruction Loss: 0.029214996844530106, KLD Loss: -26.96337890625
Reconstruction Loss: 0.03370442986488342, KLD Loss: -29.883371353149414
Reconstruction Loss: 0.03453473001718521, KLD Loss: -27.642906188964844
Reconstruction Loss: 0.03385264426469803, KLD Loss: -24.237892150878906
Reconstruction Loss: 0.03514917567372322, KLD Loss: -22.471328735351562
Reconstruction Loss: 0.030252475291490555, KLD Loss: -26.33460235595703
Reconstruction Loss: 0.034447863698005676, KLD Loss: -25.165586471557617
Reconstruction Loss: 0.03234057128429413, KLD Loss: -24.696191787719727
Reconstruction Loss: 0.033035293221473694, KLD Loss: -26.065876007080078
Reconstruction Loss: 0.030968554317951202, KLD Loss: -26.313283920288086
Reconstruction Loss: 0.032919734716415405, KLD Loss: -25.093650817871094
Reconstruction Loss: 0.03432343155145645, KLD Loss: -29.10343360900879
Reconstruction Loss: 0.034440428018569946, KLD Loss: -25.59998321533203
Reconstruction Loss: 0.0328516960144043, KLD Loss: -24.814006805419922
Reconstruction Loss: 0.034902170300483704, KLD Loss: -28.25777816772461
Reconstruction Loss: 0.033543892204761505, KLD Loss: -24.281984329223633
Reconstruction Loss: 0.029718896374106407, KLD Loss: -26.85770034790039
Reconstruction Loss: 0.03489401191473007, KLD Loss: -27.601978302001953
Reconstruction Loss: 0.03435483202338219, KLD Loss: -26.284814834594727
Reconstruction Loss: 0.03649578243494034, KLD Loss: -25.168724060058594
Reconstruction Loss: 0.03420171141624451, KLD Loss: -26.055116653442383
Reconstruction Loss: 0.03286449611186981, KLD Loss: -28.15792465209961
Reconstruction Loss: 0.03260883316397667, KLD Loss: -27.695430755615234
Reconstruction Loss: 0.031258728355169296, KLD Loss: -24.751197814941406
Reconstruction Loss: 0.03240397572517395, KLD Loss: -27.817733764648438
Reconstruction Loss: 0.033117324113845825, KLD Loss: -28.194725036621094
Reconstruction Loss: 0.0363905169069767, KLD Loss: -30.1124267578125
Reconstruction Loss: 0.029386650770902634, KLD Loss: -29.990215301513672
Reconstruction Loss: 0.02980118989944458, KLD Loss: -25.676204681396484
Reconstruction Loss: 0.035454463213682175, KLD Loss: -29.302480697631836
Reconstruction Loss: 0.030387304723262787, KLD Loss: -22.84864044189453
Reconstruction Loss: 0.03358200192451477, KLD Loss: -26.081218719482422
Reconstruction Loss: 0.03345462307333946, KLD Loss: -25.752201080322266
Reconstruction Loss: 0.03576763719320297, KLD Loss: -25.637866973876953
Reconstruction Loss: 0.032811488956213, KLD Loss: -23.387439727783203
Reconstruction Loss: 0.033612873405218124, KLD Loss: -25.237977981567383
Reconstruction Loss: 0.032190483063459396, KLD Loss: -24.168251037597656
Reconstruction Loss: 0.028100108727812767, KLD Loss: -25.47442054748535
Reconstruction Loss: 0.03352729231119156, KLD Loss: -24.253684997558594
Reconstruction Loss: 0.032092269510030746, KLD Loss: -23.759506225585938
Reconstruction Loss: 0.03406849503517151, KLD Loss: -23.315399169921875
Reconstruction Loss: 0.03211979568004608, KLD Loss: -25.962730407714844
Reconstruction Loss: 0.030625490471720695, KLD Loss: -23.4021053314209
Reconstruction Loss: 0.028707798570394516, KLD Loss: -23.28957748413086
Reconstruction Loss: 0.02888042852282524, KLD Loss: -25.668725967407227
Reconstruction Loss: 0.028730787336826324, KLD Loss: -24.06934928894043
Reconstruction Loss: 0.03205063194036484, KLD Loss: -23.594640731811523
Reconstruction Loss: 0.027963802218437195, KLD Loss: -20.09218978881836
Reconstruction Loss: 0.02997627481818199, KLD Loss: -24.038524627685547
Reconstruction Loss: 0.031497836112976074, KLD Loss: -23.035274505615234
Reconstruction Loss: 0.02895231358706951, KLD Loss: -20.625133514404297
Reconstruction Loss: 0.03090246580541134, KLD Loss: -23.3131103515625
Reconstruction Loss: 0.034274205565452576, KLD Loss: -21.730335235595703
Reconstruction Loss: 0.03033905103802681, KLD Loss: -22.70433807373047
Reconstruction Loss: 0.03154937922954559, KLD Loss: -19.192363739013672
Reconstruction Loss: 0.031492941081523895, KLD Loss: -21.580034255981445
Reconstruction Loss: 0.028699174523353577, KLD Loss: -21.51215171813965
Reconstruction Loss: 0.03186676278710365, KLD Loss: -23.263355255126953
Reconstruction Loss: 0.03283054381608963, KLD Loss: -25.076431274414062
Reconstruction Loss: 0.030174847692251205, KLD Loss: -25.609272003173828
Reconstruction Loss: 0.029145240783691406, KLD Loss: -24.12615966796875
Reconstruction Loss: 0.02856886386871338, KLD Loss: -21.20241928100586
Reconstruction Loss: 0.02936910092830658, KLD Loss: -21.078001022338867
Reconstruction Loss: 0.03118404746055603, KLD Loss: -20.20696258544922
Reconstruction Loss: 0.029084648936986923, KLD Loss: -24.232704162597656
Reconstruction Loss: 0.03183640539646149, KLD Loss: -23.93440055847168
Reconstruction Loss: 0.027900805696845055, KLD Loss: -24.366432189941406
Reconstruction Loss: 0.025749582797288895, KLD Loss: -22.892812728881836
Reconstruction Loss: 0.02856507897377014, KLD Loss: -21.194787979125977
Reconstruction Loss: 0.026521511375904083, KLD Loss: -20.148941040039062
Reconstruction Loss: 0.028498416766524315, KLD Loss: -20.730817794799805
Reconstruction Loss: 0.03362691402435303, KLD Loss: -19.039791107177734
Reconstruction Loss: 0.028640292584896088, KLD Loss: -20.884761810302734
Reconstruction Loss: 0.0290350541472435, KLD Loss: -25.61229133605957
Reconstruction Loss: 0.0301219429820776, KLD Loss: -24.931549072265625
Reconstruction Loss: 0.028724629431962967, KLD Loss: -23.971010208129883
Reconstruction Loss: 0.03074786067008972, KLD Loss: -22.224342346191406
Reconstruction Loss: 0.02678435668349266, KLD Loss: -25.452280044555664
Reconstruction Loss: 0.03466305881738663, KLD Loss: -23.3411865234375
Reconstruction Loss: 0.032474663108587265, KLD Loss: -24.35934829711914
Reconstruction Loss: 0.028107857331633568, KLD Loss: -22.40347671508789
Reconstruction Loss: 0.033841148018836975, KLD Loss: -22.82589340209961
Reconstruction Loss: 0.0292176753282547, KLD Loss: -24.209918975830078
Reconstruction Loss: 0.0324074923992157, KLD Loss: -23.89147186279297
Reconstruction Loss: 0.0278585534542799, KLD Loss: -23.42838478088379
Reconstruction Loss: 0.02877025678753853, KLD Loss: -20.454727172851562
Reconstruction Loss: 0.03062252514064312, KLD Loss: -24.623394012451172
Reconstruction Loss: 0.030484814196825027, KLD Loss: -25.46441650390625
Reconstruction Loss: 0.030100826174020767, KLD Loss: -25.23434829711914
Reconstruction Loss: 0.031629301607608795, KLD Loss: -25.948822021484375
Reconstruction Loss: 0.028485950082540512, KLD Loss: -24.032814025878906
Reconstruction Loss: 0.030935656279325485, KLD Loss: -24.03595542907715
Reconstruction Loss: 0.02963198721408844, KLD Loss: -22.473371505737305
Reconstruction Loss: 0.02802101895213127, KLD Loss: -23.990989685058594
Reconstruction Loss: 0.029189839959144592, KLD Loss: -25.67548370361328
Reconstruction Loss: 0.029588287696242332, KLD Loss: -24.315601348876953
Reconstruction Loss: 0.033648665994405746, KLD Loss: -23.738880157470703
Reconstruction Loss: 0.030482202768325806, KLD Loss: -26.052799224853516
Reconstruction Loss: 0.02908383309841156, KLD Loss: -26.21054458618164
Reconstruction Loss: 0.03192342072725296, KLD Loss: -26.027271270751953
Reconstruction Loss: 0.02756786160171032, KLD Loss: -25.818336486816406
Reconstruction Loss: 0.029988586902618408, KLD Loss: -23.872325897216797
Reconstruction Loss: 0.030348222702741623, KLD Loss: -22.357181549072266
Reconstruction Loss: 0.032594457268714905, KLD Loss: -29.564899444580078
Reconstruction Loss: 0.029087621718645096, KLD Loss: -25.444828033447266
Reconstruction Loss: 0.030808504670858383, KLD Loss: -23.987060546875
Reconstruction Loss: 0.02911946550011635, KLD Loss: -25.52522850036621
Reconstruction Loss: 0.03645329549908638, KLD Loss: -23.596736907958984
Reconstruction Loss: 0.02990352176129818, KLD Loss: -23.912364959716797
Reconstruction Loss: 0.02701292186975479, KLD Loss: -24.081069946289062
Reconstruction Loss: 0.02721896767616272, KLD Loss: -24.54637336730957
Reconstruction Loss: 0.03001437336206436, KLD Loss: -22.604373931884766
Reconstruction Loss: 0.03035866469144821, KLD Loss: -22.560455322265625
Reconstruction Loss: 0.03205833584070206, KLD Loss: -24.75099754333496
Reconstruction Loss: 0.029808564111590385, KLD Loss: -21.97793197631836
Reconstruction Loss: 0.028394099324941635, KLD Loss: -22.85297393798828
Reconstruction Loss: 0.029183126986026764, KLD Loss: -26.173198699951172
Reconstruction Loss: 0.031146273016929626, KLD Loss: -26.54832649230957
